,Date,Location / Operator,Aircraft Type / Registration,Fatalities
56,29 Nov 2003,"Spokane, WashingtonAmeriflight",Swearingen SA227AT Merlin IVCN439AF,1/1(0)
57,29 Nov 2003,"Boende, CongoMilitary - Congolese Air Force",Antonov AN-269T-TAD,20/24(13)
58,16 Dec 2003,"Jellicoe, Ontario, CanadaHuron Air",de Havilland DHC-3 OtterC-GOFF,2/3(0)
59,18 Dec 2003,"Mitu, ColombiaLíneas Aéreas Suramericanas",Douglas DC-9-15FHK-4246X,3/3(0)
60,23 Dec 2003,"Helendale, CaliforniaPavair",Gates Learjet 24BN600XJ,2/2(0)
61,25 Dec 2003,"Cotonou, BeninUnion des Transports Aeriens de Guinee",Boeing B-727-2233X-GDO,140/161(0)
0,03 Jan 2004,"Off Sharm el Sheikh, EgyptFlash Air",Boeing B-737-3Q8SU-ZCF,148/148(0)
1,13 Jan 2004,"Tashkent, UzbekistanUzbekistan Airways",Yakovlev YAK-40UK-87985,37/37(0)
2,06 Feb 2004,"Bitonja, Bosnia-HerzegovinaMilitary - Government of Macedonia",Beechcraft Super King Air 200Z3-BAB,9/9(0)
3,10 Feb 2004,"Sharjah, United Arab EmiratesKish Airlines",Fokker F-50EP-LCA,43/46(0)
4,04 Mar 2004,"Bakou, Azerbaijan  Bakou, AzerbaijanAzov Avia Airlines",Ilyushin II-76UR-ZVA,3/7(0)
5,16 Mar 2004,"Tonopah, NevadaMilitary - United States Air Force",Beechcraft 1900CN27RA,5/5(0)
6,21 Mar 2004,"Pyote, TexasAir Ambulance - Med-Trans Corp.",Bell 407N502MT,4/5(0)
7,02 May 2004,"Near Milpillas, MexicoProcuradoria General de la Republica",Rockwell Gulfstream Jetprop 840 XC-JEH,7/7(0)
8,05 May 2004,"Carepa, ColombiaAerotransportes Petroleros",Swearingen SA227AC Metro IIIHK-4275,3/7(0)
9,06 May 2004,"Jiech, SudanCharter - Air Cush",Let 410UVP9XR-DC,6/10(0)
10,11 May 2004,"Dalang, SudanEl Magal Aviation",Antonov AN-12ST-SIG,7/7(0)
11,14 May 2004,"Near Manaus, BrazilRico Linhas Aereas",Embraer 120ER BrasiliaPT-WRO,33/33(0)
12,18 May 2004,"Urumqi, ChinaAZAL Cargo Company",Ilyushin II-76TD4K-AZ27,7/7(0)
13,18 May 2004,"Bozoy, KazakhstanAray-Avia",PZL-Mielec AN-2RUN-70276,1/12(0)
14,23 May 2004,"Mwingi, KenyaBlue Bird Aviation",Let 410UVP5Y-VVD,2/2(0)
15,25 May 2004,"Near Lukla, NepalYeti Airlines",de Havilland DHC-6 Twin Otter 3009N-AFD,3/3(0)
16,08 Jun 2004,"Off Libreville, GabonGabon Express",BAe HS-748-232 Srs 2ATR-LFW,19/30(0)
17,28 Jun 2004,"Near Yengema, Sierra LeoneUnited Nations - UTair Charter",Mi-8MTV-1RA-27113,24/24(0)
18,12 Jul 2004,"Off Beef Island, British Virgin IslandsDodita Air Cargo",Convair CV-440N4826C,1/2(0)
19,22 Jul 2004,"Off Macaé , Rio de Janeiro , BrazilBHS - Brazilian Helicopter Service Air Taxi",Sikorsky S 76PP-MYM,6/11(0)
20,29 Jul 2004,"Ononge, Papua New GuineaAirlines of PNG",de Havilland DHC-6 Twin Otter 300P2-MBA,2/3(0)
21,13 Aug 2004,"Cincinnati, OhioAir Taroma",Convair CV-580N586P,1/2(0)
22,21 Aug 2004,"Near Maracay, VenezuelaMilitary - Venezuelan Air Force",Shorts 360FAV-1652,25/25(0)
23,24 Aug 2004,"Near Rostov-on-Don, RussiaSibir Airlines",Tupolev 154B-2RA-85556,46/46(0)
24,24 Aug 2004,"Near Toula, RussiaVolga-Avia Express",Tupolev 134A-3RA-65080,41/41(0)
25,27 Aug 2004,"Near Mc Grath, AlaskaMavrik Aire Transport",de Havilland DHC-3 OtterN197TT,1/3(0)
26,09 Sep 2004,"Villahermosa, MexicoJett Paqueteria SA",Rockwell CT-39A SabrelinerXA-TFD,2/2(0)
27,11 Sep 2004,"Off Mount Athos, GreeceMilitary - Greek Army",CH-47D Chinook?,17/17(0)
28,29 Sep 2004,"Tortuguero lagoon, Puerto RicoAir Flamence",Pilatus-Britten Norman BN-2A-27 IslanderN902GD,1/1(0)
29,05 Oct 2004,"Kaduqli, SudanSarit Airlines",Antonov AN-12ST-SAF,4/4(0)
30,14 Oct 2004,"Halifax, Nova Scotia, CanadaMK Airlines",Boeing 747-244B-SF9G-MKJ,7/7(0)
31,14 Oct 2004,"Jefferson City, MissouriPinnacle Airlines/Northwest Airlink",Canadair CRJ200LR RegionalJetN8396A,2/2(0)
32,15 Oct 2004,"Near Medellin, ColombiaAerovanguardia",Douglas DC-3CHK-1503,3/3(0)
33,16 Oct 2004,"Coron Island, PhilippinesPacific Air",Pilatus Britten-Norman BN-2A-21 IslanderRP-C1325,2/2(0)
34,19 Oct 2004,"Near Kirksville, MissouriCorporate Airlines (American Connection)",Bae Jetstream 3201N875JX,13/15(0)
35,24 Oct 2004,"San Diego, CaliforniaMed Flight Air Ambulance - Private",Learjet 35AN30DK,5/5(0)
36,24 Oct 2004,"Martinsville, VirginiaPrivate - Hendrick Motorsports Inc.",Beech 200 Super King AirN501RH,10/10(0)
37,18 Nov 2004,"Caracas, VenezuelaVenezolana",BAe 3101 Jetstream 31YV-1083C,3/21(0)
38,21 Nov 2004,"Baotou, Inner Mongolia, ChinaChina Eastern Airlines",Bombardier CRJ200B-3072,53/53(0)
39,22 Nov 2004,"Houston, TexasBusiness Jet Services",Grumman Gulfstream G3N85VT,3/3(0)
40,27 Nov 2004,"Near Bagram, AfghanstanPresidental Airways Inc. - Air Taxi",CASA 212-CCN960BW,6/6(0)
41,28 Nov 2004,"Montrose, ColoradoGlow Air/Air Castle - Charter",Canadair CL-601-2A12 ChallengerN873G,3/6(0)
42,30 Nov 2004,"Solo, IndonesiaLion Air",McDonnell-Douglas MD-82PK-LMN,25/163(0)
43,10 Dec 2004,"El Junquito, VenezuelaGuardia Nacional de Venezuela",PZL-Mielec M28GN-97121,16/16(0)
44,11 Dec 2004,"Near Jeddah, Saudi ArabiaAirline Transport",Ilyushin II-76TDER-IBW,1/7(0)
45,11 Dec 2004,"Uberaba, BrazilNHR Táxi-Aéreo",Embraer EMB-110 BandeirantePT-WAK,2/2(1)
0,13 Jan 2005,"Tura,Siberia, RussiaTura Air Enterprise",Antonov AN-2RA-62597,9/9(0)
1,13 Jan 2005,"Manguipayan, ColombiaMilitary - Colombian government",Black Hawk helicopter?,20/20(0)
2,13 Jan 2005,"Keene, New HampshireAirNow",Embraer EMB-110 BandeiranteN49BA,1/1(0)
3,26 Jan 2005,"Rutbah, IraqMilitary - U.S. Marines",CH53E Sea Stallion164536,31/31(0)
4,27 Jan 2005,"Lasi, HungaryFarnair Hungary",Let 410UVP-E4HA-LAR,2/2(0)
5,30 Jan 2005,"Near Al Taji, IraqMilitary - Royal Air Force",Lockheed Hercules C.1XV179,10/10(0)
6,03 Feb 2005,"Near Kabul, AfghanistanKam Air",Boeing B-737-200EX-037,104/104(0)
7,03 Feb 2005,"Near Khartoum, SudanAir West",Ilyushin 76TDST-EWB,7/7(0)
8,16 Feb 2005,"Near Pueblo, ColoradoCircuit City Stores - Charter",Cessna 560 Citation VN500AT,8/8(0)
9,22 Feb 2005,"Bimin, Papua, New GuineaMissionary Aviation Fellowship",de Havilland DHC-6 Twin Otter 300P2-MFQ,2/13(0)
10,22 Feb 2005,"Off Sarmi, Indonesia  Sarmi, IndonesiaIndonesian National Police",CASA 212 AviocarP-2032 P-2032,15/18(0)
11,08 Mar 2005,"Chrallave, VenezuelaAir Global",Cessna 500 Citation IYV-21CP,2/2(0)
12,15 Mar 2005,"Off Campbeltown, United KingdomLoganair",Pilatus-Britten Norman BN-2B-26 IslanderG-BOMG,2/2(0)
13,16 Mar 2005,"Varandey, RussiaRegional Airlines",Antonov 24RA-46489,28/52(0)
14,23 Mar 2005,"Off Mwanza, TanzaniaAir Transport",Ilyushin IL-76TDER-IBR,8/8(0)
15,26 Mar 2005,"El Embrujo, Providencia Island, ColombiaWest Caribbean Airways",Let-410UVP-EHK-4146,8/14(0)
16,31 Mar 2005,"Near Rovie, AlbaniaMilitary - U.S. Air Force",Lockheed Hercules MC-130H87-0127,9/9(0)
17,12 Apr 2005,"Enarotali, IndonesiaGT Air",de Havilland Canada DHC-6 Twin Otter 100PK-LTZ,18/18(0)
18,20 Apr 2005,"Tehran, IranSaha Airline Services",Boeing B-707-3J9CEP-SHE,3/169(0)
19,21 Apr 2005,"Near Baghdad, IraqMilitary - Bulgarian",Mil Mi-8?,11/11(0)
20,28 Apr 2005,"Pisco, PeruMilitary - Fuerza Del Peru",Let 410UVPEP-830,13/13(0)
21,02 May 2005,"Near Stratford, New ZealandAirwork NZ",Swearingen SA.227AC Metro IIIZK-POA,2/2(0)
22,05 May 2005,"Near Kisangani, Democratic Republic CongoKisangani Airlift",Antonov AN-26EK-26060,10/11(0)
23,07 May 2005,"Lockhart River, Queensland, AustraliaAero-Tropics",Swearingen SA-227AC Metro IIIVH-TFU,15/15(0)
24,16 May 2005,"El Portezulo, ArgentinaTransportes Aereos Don Carlos - Charter",Beech 65-A80 QueenaireCC-CFS,10/10(0)
25,18 May 2005,"Mongu, ZambiaMilitary - Zambia Air Force",Yunshuji Y-12AF-216,13/13(0)
26,25 May 2005,"Walungu, CongoCharter - Maniema Union (owner Victoria Air)",Antonov AN-12BP9Q-CVG,27/27(0)
27,02 Jun 2005,"Khartoom, SudanMarsland Aviation",Antonov AN-24BST-WAL,7/42(0)
28,16 Jul 2005,"Baney, Equatorial GuineaEcuatair",Antonov AN-24B3C-VQR,60/60(0)
29,02 Aug 2005,"Toronto, CanadaAir France",Airbus A-340F-GLZQ,0/309(0)
30,06 Aug 2005,"Off Palermo, ItalyTuninter",ATR-72-202TS-LBB,16/39(0)
31,10 Aug 2005,"Off Talinn, EstoniaCopterline",Sikorsky S-76COH-HCI,14/14(0)
32,14 Aug 2005,"Near Grammatikos, GreeceHelios Airways",Boeing 737-31S5B-DBY,121/121(0)
33,16 Aug 2005,"Near La Cucharita, VenezuelaWest Caribbean Airways",McDonnell Douglas MD-82HK-4374X,160/160(0)
34,23 Aug 2005,"Near Pucallpa, PeruTANS Peru",Boeing B-737-244OB-1809,40/98(0)
35,05 Sep 2005,"Medan, IndonesiaMandala Airlines",Boeing 737-230PK-RIM,99/117(44)
36,05 Sep 2005,"Isiro, Democtratic Republic CongoKavatshi Airlines",Antonov 26BER-AZT,11/11(0)
37,09 Sep 2005,"Near Brazzaville, CongoAir Kasai",Antonov AN-26A9Q-CFD,14/14(0)
38,04 Oct 2005,"Aru, Democratic Republic CogoWimbi Dira Airways",Antonov 12V9Q-CWC,2/100(0)
39,22 Oct 2005,"Lisa, NigeriaBellview Airlines",Boeing B-737-2L95N-BFN,117/117(0)
40,06 Dec 2005,"Tehran, IranMilitary - Islamic Republic of Iran Air Force",Lockheed C-130B Hercules5-8512,94/94(14)
41,08 Dec 2005,"Chicago, IllinoisSouthwest Airlines",Boeing B-737-7H4N471WN,0/103(1)
42,10 Dec 2005,"Near Port Harcourt, NigeriaSosoliso Airlines",McDonnell DC-9-325N-BFD,108/110(0)
43,19 Dec 2005,"Off Miami Beach, FloridaChalk's Ocean Airways",Grumman G73T Turbo MallardN2969,20/20(0)
44,23 Dec 2005,"Nardaran, AzerbaijanAzerbaijan Airlines",Antonov AN-140-100 4K-AZ48,23/23(0)
0,02 Jan 2006,Near KarkovEvolga,British Aerospace BAe-125-700AP4-AOD,3/3(0)
1,07 Jan 2006,"Near Tal Afar, IraqMilitary - US Army",UH-60L Black Hawk91-26346,12/12(0)
2,08 Jan 2006,"Bukalaza, UgandaService Air",Antonov 129Q-CIH,6/6(0)
3,09 Jan 2006,"Near Orumiyeh, IranMilitary - Iranian Revolutionary Guard Corps Air Force",Dassault Falcon 2015-2233,11/11(0)
4,19 Jan 2006,"Near Telkibanya, HungaryMilitary - Slovak Air Force",Antonov AN-24V5605,42/43(0)
5,05 Feb 2006,"Near Watertown, WisconsonAir Cargo Carriers",Shorts 360-100 /Shorts 360-300N3735W/N372AC,3/3(0)
6,08 Feb 2006,"Near Paris, TennesseeTriCoastal Air",Swearingen SA.226TC Metro IIN629EK,1/1(0)
7,31 Mar 2006,"Rio Bonito, BrazilTeam Air",Let L410UVP-E20PT-FSE,19/19(0)
8,10 Apr 2006,"Marsabit, KenyaMilitary - Kenya Air Force",Harbin Yunshuji Y-12-II132,14/17(0)
9,23 Apr 2006,"Kousséri, CameroonMilitary - Lybian Arab Air Force",Antonov 74TK-200UR-74038,6/6(0)
10,24 Apr 2006,"Lashkar Gah, AfghanistanU.S. Government (leased)",Antonov AN-32BZS-PDV,2/16(3)
11,03 May 2006,"Off Adler, RussiaArmavia",Airbus A320-211EK-32009,113/113(0)
12,14 May 2006,"La Ronge, SaskatchewanSaskatchewan Government Northern Air Operations",Convair CV-580C-GSKJ,1/3(0)
13,23 May 2006,Off São Tomé IslandAir São Tomé,de Havilland Canada DHC-6 Twin Otter 300S9-BAL,4/4(0)
14,03 Jun 2006,"Yaocun, ChinaMilitary - Chinese Air Force",KJ-2000?,40/40(0)
15,11 Jun 2006,"Abéché, ChadMilitary - Chadian Air Force",Lockheed C-130 HerculesTT-PAF,5/7(0)
16,21 Jun 2006,"Jumla, NapalYeti Airlines",de Havilland Canada DHC-6 Twin Otter 3009N-AEQ,9/9(0)
17,07 Jul 2006,"Sake, Democratic Republic CongoMango Airlines",Antonov AN-12B9Q-CVT,5/5(0)
18,09 Jul 2006,"Irkutsk, RussiaSibir (S7)",Airbus A-310-324ETF-OGYP,125/203(0)
19,10 Jul 2006,"Multan, PakistanPakistan International Airlines",Fokker F-27 Friendship 200AP-BAL,45/45(0)
20,27 Jul 2006,AfghanistanAfghan Army,Mil Mi-8?,17/17(0)
21,03 Aug 2006,"Bukavu, Democratic Republic CongoTracep",Antonov AN-289Q-COM,17/17(0)
22,04 Aug 2006,"Near Pownal, VermontAirNow",Embraer 110 BandeiranteN59BA,1/1(0)
23,13 Aug 2006,"Near Piacenza, ItalyAir Algerie",Lockheed L-100-30 Hercules7T-VHG,3/3(0)
24,22 Aug 2006,"Near Donetsk, UkrainePulkovo Airlines",Tupolev Tu-154MRA-85185,170/170(0)
25,27 Aug 2006,"Lexington, KentuckyComair",Canadair CRJ-200ERN431CA,49/50(0)
26,01 Sep 2006,"Mahad, IranIran Air Tours",Tupolev Tu-154MEP-MCF,29/148(0)
27,02 Sep 2006,"Near Kandahar, AfghanistanMilitary - Royal Air Force",British Aerospace Nimrod MR-2XV-230,14/14(0)
28,11 Sep 2006,"Vladikavkaz, RussiaMilitary - Russian Army",Mi-8 helicopter?,12/15(0)
29,17 Sep 2006,"Vandeikya, NigeriaMilitary - Nigerian Air Force",Dornier 228NAF033,13/18(0)
30,29 Sep 2006,"Near Sao Felix do Araguaia , BrazilGol Airlines / Private",Boeing B-737-8EH /EMB-135JBPR-GTD / N600XL,154/161(0)
31,10 Oct 2006,"Stord, NorwayAtlantic Airways",BAe 146-200OY-CRG,4/16(0)
32,19 Oct 2006,"Tashkent, RussiaMilitary - Russian Air Force/Uzbekistan Airways",Antonov An-2UK-70152,15/15(0)
33,29 Oct 2006,"Near Abuja, NigeriaADC Airlines",Boeing 737-2B75N-BFK,96/105(0)
34,17 Nov 2006,"Puncak Jaya, IndonesiaTrigana Air Service",de Havilland Canada DHC-6 Twin Otter 300PK-YPY,12/12(0)
35,18 Nov 2006,"Near Leticia, ColombiaAerosucre Colombia",Boeing 727-23FHK-3667X,5/5(0)
36,27 Nov 2006,"Tehran, IranMilitary - Iranian Revolutionary Guard Corps Air Force",Antonov 74T-20015-2255,38/38(0)
37,10 Dec 2006,"Cajon Pass, CaliforniaAir ambulance - Mercy Air Services",Bell 412N410MA,3/3(0)
0,01 Jan 2007,"Off Parepare, IndonesiaAdam Air",Boeing B-737-4Q8PK-KKW,102/102(0)
1,09 Jan 2007,"Near Balad Air Base, IraqMoldovan Aeriantur-M Air Cargo",Antonov 26B-100ER-26068,34/35(0)
2,20 Jan 2007,"Near Baghdad, IraqMilitary - US Army",Sikorsky UH-60L Black Hawk?,12/12(0)
3,25 Jan 2007,"Pau, FranceRegional Compagnie Aerienne Europeenne",Fokker 100F-GMPG,0/54(1)
4,07 Mar 2007,"Yogyakarta, IndonesiaGaruda Indonesia Airlines",Boeing B-737-497PK-GZC,22/140(0)
5,08 Mar 2007,"Princeville, HawaiiHeli-USA Airways",Aerospatiale AS350BA RotocraftN354NT,4/7(0)
6,11 Mar 2007,"Hanea, Kauai, HawaiiInter-Island",Mc Donnell Douglas 369FF RotocraftN911VC,1/5(0)
7,14 Mar 2007,"Fazenda Nossa Senhora de Lourdes, BrazilBahia Taxi Aéreo  Bahia Taxi Aéreo  Bahia Taxi Aéreo",Rockwell 500S Shrike CommanderPP-SEC,4/4(0)
8,17 Mar 2007,"Samara, RussiaUTAir Airlines",Tuolev 134AKRA-65021,6/57(0)
9,23 Mar 2007,"Mogadishu, SomaliaTransaviaexport Airlines",Ilushin Il-76TDEW-78849,11/11(0)
10,25 Apr 2007,"Near Kopinang, GuyanaAir Services",Pilatus Britten Norman BN-2A-27 Islander8R-GET,3/5(0)
11,27 Apr 2007,"Shatoi, ChechnyaMilitary - Russian",Mi 8?,18/18(0)
12,05 May 2007,"Near Dizangue, CameroonKenya Airways",Boeing B-737-8AL5Y-KYA,114/114(0)
13,06 May 2007,"Near El-Thamad, EgyptMilitary - French Air Force",de Havilland Canada DHC-6 Twin Otter742/CB,9/9(0)
14,17 May 2007,"Walikale Airstrip, CongoSafe Air Complany",Let 410UVPTN-AHE,3/3(0)
15,24 May 2007,"Near Pampa Hermosa, PeruMilitary - Peruvian Air Force",de Havilland Canada DHC-6 Twin Otter 300FAP-303,13/20(0)
16,03 Jun 2007,"Freetown, Sierra LeoneParamount Airlilnes",Mi-8?,21/22(0)
17,04 Jun 2007,"Near Milwaukee, WisconsonUniversity of Michigan Health System",Cessna 550 Citation IIN550BP,6/6(0)
18,13 Jun 2007,"Selenge province, MongoliaMongolian Defense Ministry",Mi-8?,15/22(0)
19,21 Jun 2007,"Near Kamina, CongoKaribu Airways",Let 410UVP9Q-CEU,1/25(0)
20,25 Jun 2007,"Near Sihanoukville, CambodiaPMT Air",Antonov AN-24VXU-U4A,22/22(0)
21,28 Jun 2007,"M'Banza Congo, AngolaTAAG Angola Airlines",Boeing 737-2M2D2-TBP,5/78(0)
22,05 Jul 2007,"Culiacan, MexicoJett Paqueteria SA",North American CT-39A SabrelineXA-TFL,3/3(6)
23,08 Jul 2007,"Muncho Lake, British Columbia, CanadaLiard Air",de Havilland DHC-6 Twim Otter 100C-FAWC,1/5(0)
24,17 Jul 2007,"Sao Paulo, BrazilTAM (Brazil)",Airbus A-320-233PR-MBK,187/187(12)
25,23 Jul 2007,"Near Shinile, EthiopiaDjibouti Airlines",Antonov AN-26VEX-030,1/9(0)
26,24 Jul 2007,"Rudyerd Bay, AlaskaTaquan Air Service",de Havilland DHC-2 MK.1 BeaverN995WA,5/5(0)
27,29 Jul 2007,"Moscow, RussiaAtran",Antonov AN-12BPRA-93912,9/9(0)
28,09 Aug 2007,"Off Moorea, French PolynesiaAir Moorea",de Havilland Canada DHC-6 Twin Otter 300F-OIQ,20/20(0)
29,16 Aug 2007,"Near Ketchikan, AlaskaSeaWind Aviation",de Havilland Canada DHC-2 BeaverN345KA,6/10(0)
30,20 Aug 2007,"Okinawa, JapanChina Airlines",Boeing 737-809B-18616,0/165(0)
31,22 Aug 2007,"Near Curitiba, BrazilTwo Taxi Aero",Embraer EMB-110P1 BandeirantPT-SDB,2/2(0)
32,22 Aug 2007,"Near Kirkuk, IraqMilitary - U.S. Army",UH-60 Blackhawk helilcopter?,14/14(0)
33,26 Aug 2007,"Kongolo, Democratic Republic CongoGreat Lakes Business Complany",Antonov AN-329Q-CAC,14/15(0)
34,07 Sep 2007,"Goma, Democratic Republic CongoGalaxy Kavatsi Airlines",Antonov AN-12BP4L-SAS,8/8(0)
35,16 Sep 2007,"Phuket, ThailandOne-Two-Go Airlines",McDonnell Douglas MD-82HS-OMG,90/130(0)
36,24 Sep 2007,"Malemba Nkulu, DR CongoKaribu Airways",Let 4109Q-CVL,1/6(0)
37,04 Oct 2007,"Kinshasa, DR CongoAfrica One Congo",Antonov AN-269Q-COS,21/22(30)
38,08 Oct 2007,"Near Cubarral, ColombiaNacional de Aviacion",Let 410 UVP-E10AHK-4055,17/17(0)
39,08 Nov 2007,"Khartoum, SudanJuba Air Cargo",Antonov 12ST-JUA,0/4(2)
40,30 Nov 2007,"Near Isparta, TurkeyAtlasjet Airlines",McDonnell Douglas MD-83TC-AKM,57/57(0)
41,03 Dec 2007,"Off Whittier, AlaskaEvergreen Alaska Helicopters, Inc.",Eurocopter Deutschland BK117C1N141LG,4/4(0)
42,05 Dec 2007,"Columbus, OhioCastle Aviation",Cessna 208B Caravan I Super CargomasterN28MG,2/2(0)
0,04 Jan 2008,"Los Roques, VenezuelaTransaven",Let 410 UVP-E3YV2081,18/18(0)
1,12 Jan 2008,"Blace, MacedoniaMilitary - Macedonian Air Force",Mi-17 HelicopterVAM-304,11/11(0)
2,17 Jan 2008,"London, EnglandBritish Airways",Boeing 777-236ERG-YMMM,0/152(0)
3,23 Jan 2008,"Miroslawiec, PolandMilitary - Polish Air Force",CASA C-295M019,20/20(0)
4,26 Jan 2008,"Near Malinau, IndonesiaDirgantara Air Service",CASA NC-212-200PK-VSE,3/3(0)
5,21 Feb 2008,"Merida, VenezuelaSanta Barbara Airlines",ATR-42-300YV-1449,46/46(0)
6,26 Feb 2008,"Off Macae , Rio de Janeiro , ArgentinaBHS - Brazilian Helicopter Service Air Taxi",Eurocopter AS332L2 Super PumaPP-MUM,5/20(0)
7,03 Mar 2008,"Near Bethani, NepalUnited Nations Mission",Mi-17?,10/10(0)
8,03 Apr 2008,"Lawa, SurinameBlue Wing Airlines",Antonov An-28PZ-TSO,19/19(0)
9,09 Apr 2008,"Bundeena, AustraliaAvtex Air Services",Swearingen SA227AC Metroliner IIIVH-OZA,1/1(0)
10,11 Apr 2008,"Chrisinau, MoldovaKata Transportation",Antonov An-32ST-AZL,8/8(0)
11,15 Apr 2008,"Goma, CongoHewa Bora Airways",McDonnell Douglas DC-9-519Q-CHN,0/85(47)
12,16 Apr 2008,"Off Annobon Island, Equatorial GuineaMilitary - Government of Equatorial Guinea",Antonov An-32B3C-5GE,13/13(0)
13,28 Apr 2008,"Off Crimea, Black SeaNaftogaz",Mil Mi-8TUR-24275,20/20(0)
14,17 May 2008,"Stehekin, WashingtonChelan Air Service",de Havilland Canada DHC-2 Mark I BeaverN5998Q,2/5(0)
15,24 May 2008,"Two Harbors, Catalina Island, CaliforniaIsland Express Helicopter Service",Eurocopter AS350D AstarN67GE,4/6(0)
16,26 May 2008,"Near Chelyabinsk, RussiaMoskovia Airlines",Antonov An-12RA-12957,9/9(0)
17,29 May 2008,"Panama City, PanamaMilitary - Servicio Aereo Nacional",Bell UN-1N HueySAN-100,11/12(0)
18,30 May 2008,"Tegucigalpa, HondurasTACA International Airlines",Airbus A-320-233EI-TAF,3/136(2)
19,08 Jun 2008,"Huntsville, TexasPHI Air Medical",Bell 407N416PH,4/4(0)
20,10 Jun 2008,"Khartoum, SudanSudan Airways",Airbus A-310-324ST-ATN,32/214(0)
21,18 Jun 2008,"Hyannis, MassachusettsWiggins Airways",de Havilland Canada DHC-6 Twin Otter 100N656WA,1/1(0)
22,20 Jun 2008,"Bannang Sata, ThailandMilitary - Thai Army",Bell UH-1N?,10/10(0)
23,26 Jun 2008,"Near Salak Mountain, IndonesiaMilitary - Indonesian Air Force",CASA NC-212A-2106,18/18(0)
24,27 Jun 2008,"Near Malakal, SudanJuba Air Cargo",Antonov 12BKST-ARN,7/8(0)
25,29 Jun 2008,"Flagstaff, ArizonaAir Methods / Classic Helicopters",Bell 407 / Bell 407N407GA / N407MJ,6/7(0)
26,30 Jun 2008,"Near Khartoum, SudanAbabeel Aviaition",Ilysushin Il-76TDST-WTB,4/4(0)
27,06 Jul 2008,"Saltillo, MexicoUSA Jet Airlines",Douglas DC9-15FN199US,1/2(0)
28,07 Jul 2008,"Near Bogota, ColombiaCenturian Air Cargo",Boeing B-747-209BSFN714CK,0/8(3)
29,31 Jul 2008,"Owatonna, MinnesotaEast Coast Jets",British Aerospace BAe-125-800AN818MV,8/8(0)
30,03 Aug 2008,"North Vancouver Island, British Colombia, CanadaPacific Coastal Airlines",Grumman G-21A GooseC-GPCD,5/7(0)
31,05 Aug 2008,"Near Junction City, CaliforniaJunction City Fire Department",Sikorsky S-61NN612AZ,9/13(0)
32,06 Aug 2008,"Sunat Tanon, ThailandMilitary - Royal Thai Air Force",Bell Huey UH-1H?,10/10(0)
33,13 Aug 2008,"K-50 Airport, SomaliaFly 540",Fokker F-27 Friendship 5005Y-BVF,3/3(0)
34,20 Aug 2008,"Madrid, SpainSpanair",McDonnell Douglas MD-82EC-HFP,154/172(0)
35,24 Aug 2008,"Bishkek, KyrgyzstanItek Air",Boeing B-737-219EX-009,68/90(0)
36,30 Aug 2008,"Near Toacaso, EcuadorConviasa",Boeing B-737-291YV-102T,3/3(0)
37,01 Sep 2008,"Columbus, OhioAir Tahoma",Convair CV-580N587X,3/3(0)
38,03 Sep 2008,"Off Dubai, United Arab EmiratesAerogulf",Bell 212A6-AVL,7/7(0)
39,14 Sep 2008,"Perm, RussiaAeroflot",Boeing B-737-505VP-BKO,88/88(0)
40,19 Sep 2008,"Columbia, South CarolinaGlobal Executive Aviation",Learjet 60N999LJ,4/6(0)
41,27 Sep 2008,"Camp Springs, MarylandMaryland State Police",Aerospatiale SA365N-1 Dauphin IIN92MD,4/5(0)
42,08 Oct 2008,"Lukla, NepalYeti Airlines",de Havilland Canada DHC-6 Twin Otter 3009N-AFE,18/19(0)
43,15 Oct 2008,"Aurora, IllinoisAir Angles Inc.",Bell 222N992AA,4/4(0)
44,13 Nov 2008,"Fallujah, IraqFalcon Aviation Group",Antonov An-12S9-SAO,7/7(0)
45,16 Nov 2008,"Thormanby Island, British Columbia, CanadaPacific Coastal Airlines",Grumman G-21A GooseC-FPCK,7/8(0)
46,27 Nov 2008,"Off Perpignan, FranceXL Airways leased from Air New Zealand",Airbus A320-232D-AXLA,7/7(0)
47,03 Dec 2008,"San Juan, Puerto RicoWebstas Aviation Services Inc.",Rockwell International 690BN318WA,3/3(0)
48,11 Dec 2008,"Off Sabine Pass, TexasRotorcraft Leasing Co",Bell 206-L4 Jet Ranger IIIN180AL,3/3(0)
49,15 Dec 2008,Off Turks and Caicos IslandsAlantis Aviation,Britten Norman BN-2A Trislander Mk3N650LP,12/12(0)
50,20 Dec 2008,"Denver, ColoradoContinental Airlines",Boeing 737-500N18611,0/115(0)
0,01 Jan 2009,"Lubock, TexasEmpire Airlines leased from FedEx",ATR-42-320N902FX,2/2(0)
1,04 Jan 2009,Near Houma LouisianaPetroleum Helicopters Inc,Sikorsky S-76C++N748P,8/9(0)
2,15 Jan 2009,"Adraskan district, AfghanistanAfghan Army",Mil Mi-17?,13/13(0)
3,15 Jan 2009,"New York, New YorkUS Airways",Airbus A320-214N106US,0/155(0)
4,07 Feb 2009,"Manacapuru, BrazilAerotaxi Manaus",Bandeirante EMB-110P1PT-SEA,24/28(0)
5,12 Feb 2009,"Clarence Center, New YorkContinental Connection/Colgan Air",Bombardier DHC-8-402 Q400N200WQ,49/49(1)
6,15 Feb 2009,"Chanco, ChileFlight Service",Bell UH-1HCC-CBW,13/13(0)
7,20 Feb 2009,"Luxor, EgyptAerolift",Antonov 12VS9-SVN,5/5(0)
